eid,index,afid,name,domain,url,variants
10-s2.0-116272078,20341,116272078,Associacao agroecológica Tijupá,,,['Associacao agroecológica Tijupá']
10-s2.0-111855232,20340,111855232,Centro Universitário do Norte,,,['Centro Universitário Do Norte']
10-s2.0-101222800,20343,101222800,Integrated Regional University,,,"['Integrated Regional University', 'Regional Integrated University']"
10-s2.0-116083414,20344,116083414,Instituto Federal de Educação,,,['Instituto Federal De Educação']
10-s2.0-116207073,20345,116207073,Epagri - Empresa de Pesquisa Agropecuaria e Extensao Rural de Santa Catarina; R. Joao Zardo,,,"['Epagri - Empresa De Pesquisa Agropecuaria E Extensao Rural De Santa Catarina; R. Joao Zardo', 'Empresa De Pesquisa Agropecuária E Extenção', 'Empresa De Pesquisa Agropecuaria E Extensao Rural De Santa Catarina']"
10-s2.0-116206514,20346,116206514,Programa de Pós-Graduação em Ecologia,,,[]
10-s2.0-112759155,20347,112759155,C.C.G.,,,"['C.C.G.', 'CCG Productions']"
10-s2.0-122297540,20348,122297540,Cidade Universitária,,,"['Cidade Universitária', 'Cidade Universitaria']"
10-s2.0-109690596,20349,109690596,Universidade da Grande Dourados,,,[]
10-s2.0-115867095,20350,115867095,Technical Group on Public Health Vigilance for the States of Rio Grande do Sul,,,['Technical Group on Public Health Vigilance for the States of Rio Grande do Sul']
10-s2.0-116179515,20351,116179515,National Institute of Science and Technology for Amazonia Biodiversity (INCT - CENBAM),,,['National Institute Of Science And Technology For Amazonia Biodiversity (inct - Cenbam)']
10-s2.0-116159979,20352,116159979,Apiary Padre Assis,,,['Apiary Padre Assis']
10-s2.0-116114966,20353,116114966,University Federal of Alagoas,,,['University Federal Of Alagoas']
10-s2.0-119760913,20355,119760913,Núcleo de Estudos em Biologia,,,['Núcleo De Estudos Em Biologia']
10-s2.0-114899684,20354,114899684,CPA/Consultor Técnico e Ambiental,,,['CPA/Consultor Técnico e Ambiental']
10-s2.0-115961659,20356,115961659,Fed. Univ.,,,['Fed. Univ.']
10-s2.0-127357535,20357,127357535,"Departamento de Ciências Sociais,Unifesp",,,"['Departamento De Ciências Sociais,unifesp']"
10-s2.0-128763634,20358,128763634,Universidade Estadual do Oeste,,,['Universidade Estadual Do Oeste']
10-s2.0-109996068,20359,109996068,Brazilian Centre of Analysis and Planning,,,"['Brazilian Centre Of Analysis And Planning', 'Brazilian Centre Of Analysis And Planning (são Paulo', 'Brazilian Cochrane Centre']"
10-s2.0-121701882,20360,121701882,Brazilian Institute of Geography and Statistics - IBGE,,,"['Brazilian Institute Of Geography And Statistics Ibge', 'Brazilian Institute Of Geography And Statistics (ibge)']"
10-s2.0-124546970,20361,124546970,International Centre for Economic Development ICER,,,['International Centre For Economic Development Icer']
